CustomerKey,Name,Region
0,Coca-Cola Company,South
1,Comodo,South
2,ExxonMobil,East
3,Vodafone,North
4,Boeing,South
5,Zepter,North
6,Global Print,North
7,ExxonMobil,North
8,Coca-Cola Company,North
9,BuzzFeed,South
10,Zepter,North
11,ENEL,South
12,Demaco,West
13,Leadertech Consulting,South
14,Carrefour,South
15,Zepter,North
16,Amazon.com,East
17,BuzzFeed,East
18,21st Century Fox,East
19,DynCorp,South
20,Coca-Cola Company,East
21,Comodo,West
22,Facebook,East
23,CarMax,West
24,Facebook,West
25,Telekom,North
26,Comcast,North
27,ExxonMobil,West
28,Apple Inc.,East
29,Mars,West
30,Global Print,North
31,AECOM,North
32,Boeing,North
33,Comodo,East
34,Danone,West
35,Vodafone,West
36,Mars,East
37,Telekom,West
38,Leadertech Consulting,East
39,Telekom,South
40,Carrefour,South
41,Amazon.com,North
42,Apple Inc.,South
43,Erickson,West
44,Metro Cash&Carry,North
45,BuzzFeed,North
46,Mars,North
47,Leadertech Consulting,South
48,UPC,South
49,It Smart Group,South
50,CarMax,West
51,Comcast,East
52,BuzzFeed,South
53,CarMax,North
54,Team Guard SRL,South
55,CarMax,South
56,Apple Inc.,East
57,DynCorp,South
58,Leadertech Consulting,North
59,Vodafone,North
60,Apple Inc.,South
61,UPC,East
62,Metro Cash&Carry,North
63,Global Print,North
64,Demaco,West
65,Vodafone,North
66,Demaco,West
67,AECOM,North
68,Metro Cash&Carry,West
69,BuzzFeed,East
70,Areon Impex,West
71,Global Print,North
72,Apple Inc.,East
73,Demaco,West
74,Zepter,South
75,Carrefour,North
76,Facebook,East
77,Comcast,North
78,Leadertech Consulting,South
79,ExxonMobil,West
80,BuzzFeed,South
81,DynCorp,South
82,Erickson,South
83,Vodafone,East
84,Mars,East
85,Amazon.com,West
86,Biolife Grup,North
87,BuzzFeed,North
88,Boeing,North
89,It Smart Group,West
90,Boeing,West
91,Areon Impex,East
92,Carrefour,North
93,Erickson,North
94,Erickson,North
95,Demaco,West
96,UPC,North
97,Carrefour,North
98,Zepter,East
99,Team Guard SRL,North
100,Global Print,West
101,Vodafone,North
102,Danone,West
103,Biolife Grup,West
104,Team Guard SRL,East
105,Zepter,West
106,Coca-Cola Company,East
107,Global Print,East
108,Global Print,North
109,Danone,South
110,Erickson,South
111,CarMax,North
112,21st Century Fox,South
113,ExxonMobil,North
114,Erickson,North
115,AECOM,East
116,Team Guard SRL,West
117,Vodafone,North
118,AECOM,East
119,Facebook,South
120,Demaco,South
121,Zepter,North
122,Telekom,West
123,Global Print,North
124,Coca-Cola Company,West
125,Coca-Cola Company,East
126,Team Guard SRL,North
127,Coca-Cola Company,West
128,Global Print,North
129,Danone,West
130,Biolife Grup,West
131,Demaco,West
132,Facebook,East
133,Comcast,North
134,UPC,South
135,Telekom,West
136,Zepter,West
137,Facebook,West
138,Coca-Cola Company,West
139,Comodo,East
140,Amazon.com,South
141,Apple Inc.,East
142,Biolife Grup,West
143,Mars,South
144,DynCorp,East
145,BuzzFeed,North
146,Facebook,East
147,Erickson,North
148,Coca-Cola Company,West
149,ExxonMobil,East
150,Metro Cash&Carry,South
151,Global Print,North
152,Leadertech Consulting,West
153,Coca-Cola Company,West
154,Biolife Grup,South
155,Demaco,South
156,Demaco,North
157,DynCorp,East
158,Demaco,North
159,Team Guard SRL,West
160,AECOM,West
161,CarMax,North
162,Coca-Cola Company,East
163,It Smart Group,South
164,AECOM,West
165,Zepter,East
166,Global Print,South
167,BuzzFeed,West
168,Global Print,North
169,Telekom,North
170,ExxonMobil,North
171,UPC,North
172,Team Guard SRL,South
173,UPC,West
174,ExxonMobil,North
175,21st Century Fox,West
176,Danone,East
177,Amazon.com,South
178,ENEL,East
179,It Smart Group,North
180,Erickson,South
181,BuzzFeed,East
182,Coca-Cola Company,South
183,UPC,South
184,Zepter,East
185,Erickson,West
186,Comodo,South
187,Telekom,South
188,Mars,East
189,Amazon.com,East
190,Carrefour,North
191,BuzzFeed,West
192,Danone,West
193,Boeing,West
194,AECOM,South
195,Amazon.com,West
196,Erickson,North
197,ENEL,West
198,21st Century Fox,West
199,Danone,South
200,Demaco,North
201,DynCorp,South
202,Comodo,North
203,Apple Inc.,East
204,CarMax,South
205,Amazon.com,West
206,Danone,East
207,Carrefour,East
208,21st Century Fox,West
209,Apple Inc.,West
210,ENEL,North
211,Telekom,East
212,Comcast,West
213,ENEL,North
214,Boeing,West
215,Telekom,South
216,Areon Impex,East
217,AECOM,North
218,Metro Cash&Carry,West
219,Team Guard SRL,South
220,Facebook,East
221,Telekom,South
222,Danone,West
223,Apple Inc.,East
224,Leadertech Consulting,North
225,Amazon.com,West
226,Comcast,West
227,Erickson,South
228,Areon Impex,South
229,Boeing,North
230,Amazon.com,East
231,Telekom,South
232,Telekom,North
233,Apple Inc.,West
234,Demaco,North
235,AECOM,South
236,Boeing,South
237,Facebook,East
238,UPC,West
239,DynCorp,East
240,Team Guard SRL,West
241,Areon Impex,West
242,Comcast,North
243,Metro Cash&Carry,East
244,ENEL,West
245,Metro Cash&Carry,South
246,AECOM,South
247,Facebook,West
248,CarMax,South
249,BuzzFeed,North
250,CarMax,East
251,DynCorp,North
252,Comodo,South
253,Comodo,East
254,Metro Cash&Carry,North
255,Amazon.com,South
256,Zepter,South
257,Facebook,South
258,ExxonMobil,North
259,Carrefour,South
260,AECOM,South
261,ExxonMobil,East
262,Danone,West
263,Metro Cash&Carry,South
264,ENEL,South
265,DynCorp,East
266,Coca-Cola Company,West
267,Coca-Cola Company,North
268,BuzzFeed,North
269,Apple Inc.,South
270,DynCorp,East
271,Global Print,South
272,Coca-Cola Company,South
273,Demaco,South
274,Coca-Cola Company,East
275,Zepter,East
276,21st Century Fox,North
277,Zepter,East
278,Amazon.com,North
279,Danone,North
280,Comcast,East
281,Zepter,North
282,Erickson,East
283,Carrefour,West
284,BuzzFeed,North
285,Danone,North
286,Demaco,East
287,Demaco,West
288,Amazon.com,West
289,Telekom,South
290,DynCorp,West
291,It Smart Group,East
292,BuzzFeed,West
293,Metro Cash&Carry,East
294,Erickson,East
295,Comcast,North
296,DynCorp,North
297,CarMax,South
298,CarMax,South
299,Telekom,North
300,Metro Cash&Carry,West
301,UPC,North
302,DynCorp,North
303,Telekom,North
304,Carrefour,East
305,Facebook,South
306,ExxonMobil,East
307,UPC,South
308,Comodo,North
309,Zepter,North
310,Facebook,West
311,CarMax,East
312,ExxonMobil,East
313,Telekom,South
314,Facebook,South
315,DynCorp,South
316,ENEL,South
317,Comodo,North
318,Leadertech Consulting,West
319,Erickson,West
320,Vodafone,East
321,Metro Cash&Carry,East
322,Danone,South
323,Vodafone,West
324,Leadertech Consulting,West
325,Telekom,North
326,Metro Cash&Carry,South
327,Biolife Grup,East
328,Global Print,North
329,Biolife Grup,North
330,BuzzFeed,North
331,21st Century Fox,North
332,Mars,West
333,21st Century Fox,South
334,Zepter,West
335,Amazon.com,West
336,Amazon.com,West
337,Facebook,West
338,CarMax,North
339,Team Guard SRL,West
340,Erickson,East
341,Danone,West
342,Leadertech Consulting,West
343,Vodafone,West
344,Areon Impex,West
345,DynCorp,North
346,Comcast,West
347,Vodafone,North
348,Zepter,South
349,UPC,West
350,Areon Impex,West
351,ExxonMobil,East
352,ENEL,South
353,Telekom,South
354,Metro Cash&Carry,East
355,Coca-Cola Company,South
356,Apple Inc.,East
357,Demaco,South
358,Carrefour,East
359,ENEL,South
360,Global Print,North
361,Team Guard SRL,West
362,Team Guard SRL,West
363,ENEL,North
364,DynCorp,East
365,Metro Cash&Carry,West
366,21st Century Fox,East
367,AECOM,East
368,Areon Impex,East
369,ExxonMobil,East
370,BuzzFeed,East
371,ExxonMobil,North
372,Carrefour,East
373,Apple Inc.,North
374,Coca-Cola Company,North
375,Danone,East
