"JournalKey","PreparerKey","Source","Date"
0,6526,"Source 3","2018-11-14T05:00:00.000Z"
1,1202,"Source 2","2019-01-24T05:00:00.000Z"
2,4912,"Source 2","2020-02-19T05:00:00.000Z"
3,10191,"Source 3","2018-05-11T05:00:00.000Z"
4,7351,"Source 2","2020-06-14T05:00:00.000Z"
5,7195,"Source 4","2020-02-01T05:00:00.000Z"
6,8860,"Source 1","2018-03-20T05:00:00.000Z"
7,4040,"Source 5","2018-09-04T05:00:00.000Z"
8,10657,"Source 3","2018-08-31T05:00:00.000Z"
9,3906,"Source 1","2018-03-24T05:00:00.000Z"
10,5572,"Source 4","2018-07-01T05:00:00.000Z"
11,1641,"Source 3","2018-11-05T05:00:00.000Z"
12,6266,"Source 3","2019-03-16T05:00:00.000Z"
13,9344,"Source 4","2019-04-11T05:00:00.000Z"
14,11855,"Source 5","2018-03-27T05:00:00.000Z"
15,4189,"Source 5","2018-09-19T05:00:00.000Z"
16,9126,"Source 3","2019-02-27T05:00:00.000Z"
17,4581,"Source 1","2018-01-03T05:00:00.000Z"
18,6392,"Source 5","2019-02-19T05:00:00.000Z"
19,7581,"Source 2","2020-09-10T05:00:00.000Z"
20,7683,"Source 4","2019-03-27T05:00:00.000Z"
21,2168,"Source 3","2019-03-31T05:00:00.000Z"
22,7226,"Source 1","2018-12-28T05:00:00.000Z"
23,7683,"Source 4","2019-11-25T05:00:00.000Z"
24,4015,"Source 2","2019-11-21T05:00:00.000Z"
25,10812,"Source 3","2019-08-22T05:00:00.000Z"
26,2786,"Source 4","2019-10-09T05:00:00.000Z"
27,1788,"Source 4","2020-12-19T05:00:00.000Z"
28,7063,"Source 2","2018-02-14T05:00:00.000Z"
29,9300,"Source 3","2020-09-11T05:00:00.000Z"
30,1067,"Source 5","2019-04-02T05:00:00.000Z"
31,5645,"Source 2","2018-05-25T05:00:00.000Z"
32,6052,"Source 2","2020-05-14T05:00:00.000Z"
33,7727,"Source 2","2018-08-14T05:00:00.000Z"
34,6152,"Source 4","2019-03-21T05:00:00.000Z"
35,10892,"Source 3","2018-02-11T05:00:00.000Z"
36,9672,"Source 1","2020-11-18T05:00:00.000Z"
37,10487,"Source 5","2018-09-24T05:00:00.000Z"
38,6603,"Source 4","2019-05-20T05:00:00.000Z"
39,2352,"Source 4","2020-07-14T05:00:00.000Z"
40,10642,"Source 2","2019-02-02T05:00:00.000Z"
41,7503,"Source 5","2019-11-20T05:00:00.000Z"
42,10438,"Source 5","2019-09-13T05:00:00.000Z"
43,10513,"Source 5","2019-01-09T05:00:00.000Z"
44,8866,"Source 4","2020-09-13T05:00:00.000Z"
45,6267,"Source 3","2018-05-03T05:00:00.000Z"
46,9245,"Source 1","2019-10-16T05:00:00.000Z"
47,5812,"Source 3","2019-06-18T05:00:00.000Z"
48,599,"Source 2","2020-04-09T05:00:00.000Z"
49,644,"Source 3","2019-04-07T05:00:00.000Z"
50,3279,"Source 2","2020-07-16T05:00:00.000Z"
51,677,"Source 1","2020-10-30T05:00:00.000Z"
52,6205,"Source 3","2020-10-18T05:00:00.000Z"
53,7783,"Source 1","2019-12-11T05:00:00.000Z"
54,3399,"Source 2","2020-05-08T05:00:00.000Z"
55,6546,"Source 2","2020-08-15T05:00:00.000Z"
56,7595,"Source 1","2019-08-29T05:00:00.000Z"
57,11679,"Source 2","2018-03-12T05:00:00.000Z"
58,3923,"Source 5","2020-01-28T05:00:00.000Z"
59,3236,"Source 1","2019-01-18T05:00:00.000Z"
60,4901,"Source 3","2019-08-24T05:00:00.000Z"
61,5931,"Source 3","2019-11-25T05:00:00.000Z"
62,4267,"Source 5","2018-11-23T05:00:00.000Z"
63,10651,"Source 5","2019-10-18T05:00:00.000Z"
64,8109,"Source 2","2020-04-25T05:00:00.000Z"
65,2730,"Source 2","2018-02-07T05:00:00.000Z"
66,4376,"Source 3","2018-07-28T05:00:00.000Z"
67,2588,"Source 4","2020-11-12T05:00:00.000Z"
68,7835,"Source 4","2020-04-08T05:00:00.000Z"
69,5863,"Source 2","2019-07-25T05:00:00.000Z"
70,10724,"Source 2","2020-02-01T05:00:00.000Z"
71,7384,"Source 5","2020-12-25T05:00:00.000Z"
72,8070,"Source 1","2020-06-06T05:00:00.000Z"
73,1722,"Source 5","2018-02-28T05:00:00.000Z"
74,1266,"Source 5","2018-01-10T05:00:00.000Z"
75,8017,"Source 4","2020-11-18T05:00:00.000Z"
76,3986,"Source 4","2019-05-05T05:00:00.000Z"
77,4728,"Source 2","2019-12-28T05:00:00.000Z"
78,8974,"Source 2","2019-01-21T05:00:00.000Z"
79,11812,"Source 3","2020-07-29T05:00:00.000Z"
80,9732,"Source 2","2020-08-04T05:00:00.000Z"
81,1993,"Source 3","2020-09-15T05:00:00.000Z"
82,6137,"Source 4","2018-10-05T05:00:00.000Z"
83,2006,"Source 1","2018-01-10T05:00:00.000Z"
84,251,"Source 3","2020-11-15T05:00:00.000Z"
85,1940,"Source 2","2018-10-16T05:00:00.000Z"
86,4127,"Source 3","2018-09-15T05:00:00.000Z"
87,6201,"Source 2","2019-11-28T05:00:00.000Z"
88,9411,"Source 4","2018-06-29T05:00:00.000Z"
89,26,"Source 4","2020-09-29T05:00:00.000Z"
90,11397,"Source 5","2020-05-11T05:00:00.000Z"
91,1124,"Source 1","2019-02-04T05:00:00.000Z"
92,2606,"Source 4","2018-03-05T05:00:00.000Z"
93,125,"Source 4","2019-06-08T05:00:00.000Z"
94,6192,"Source 1","2018-09-04T05:00:00.000Z"
95,6831,"Source 4","2020-02-09T05:00:00.000Z"
96,8179,"Source 5","2018-12-16T05:00:00.000Z"
97,7595,"Source 2","2020-06-23T05:00:00.000Z"
98,8462,"Source 5","2020-11-12T05:00:00.000Z"
99,9863,"Source 4","2020-12-10T05:00:00.000Z"
100,3287,"Source 2","2019-04-16T05:00:00.000Z"
101,3627,"Source 4","2018-11-22T05:00:00.000Z"
102,3076,"Source 2","2020-03-13T05:00:00.000Z"
103,2642,"Source 5","2020-07-23T05:00:00.000Z"
104,9100,"Source 2","2019-08-26T05:00:00.000Z"
105,3658,"Source 2","2019-06-11T05:00:00.000Z"
106,8192,"Source 2","2020-03-25T05:00:00.000Z"
107,1750,"Source 2","2020-09-06T05:00:00.000Z"
108,2791,"Source 5","2018-08-08T05:00:00.000Z"
109,6712,"Source 3","2020-04-11T05:00:00.000Z"
110,8103,"Source 4","2019-07-13T05:00:00.000Z"
111,9701,"Source 5","2019-03-02T05:00:00.000Z"
112,6571,"Source 4","2019-09-04T05:00:00.000Z"
113,10982,"Source 1","2018-02-22T05:00:00.000Z"
114,648,"Source 5","2019-10-20T05:00:00.000Z"
115,5677,"Source 1","2018-01-21T05:00:00.000Z"
116,4700,"Source 3","2020-10-18T05:00:00.000Z"
117,6310,"Source 1","2019-10-06T05:00:00.000Z"
118,9783,"Source 4","2019-05-16T05:00:00.000Z"
119,85,"Source 3","2018-01-19T05:00:00.000Z"
120,5902,"Source 5","2018-10-14T05:00:00.000Z"
121,6819,"Source 1","2019-03-18T05:00:00.000Z"
122,9387,"Source 3","2018-11-06T05:00:00.000Z"
123,6154,"Source 5","2018-07-29T05:00:00.000Z"
124,6643,"Source 1","2018-05-27T05:00:00.000Z"
125,7322,"Source 4","2019-09-24T05:00:00.000Z"
126,8318,"Source 2","2020-02-03T05:00:00.000Z"
127,9571,"Source 3","2020-04-16T05:00:00.000Z"
128,201,"Source 2","2020-02-23T05:00:00.000Z"
129,3068,"Source 5","2019-04-20T05:00:00.000Z"
130,7734,"Source 3","2019-10-31T05:00:00.000Z"
131,5583,"Source 2","2019-07-09T05:00:00.000Z"
132,3521,"Source 4","2018-08-31T05:00:00.000Z"
133,2270,"Source 5","2019-12-08T05:00:00.000Z"
134,9289,"Source 4","2020-12-20T05:00:00.000Z"
135,10046,"Source 4","2020-01-14T05:00:00.000Z"
136,3771,"Source 5","2019-11-02T05:00:00.000Z"
137,7299,"Source 4","2018-05-19T05:00:00.000Z"
138,6007,"Source 4","2020-01-15T05:00:00.000Z"
139,7515,"Source 3","2019-08-05T05:00:00.000Z"
140,1377,"Source 2","2020-06-11T05:00:00.000Z"
141,9115,"Source 4","2018-11-08T05:00:00.000Z"
142,3918,"Source 4","2020-02-07T05:00:00.000Z"
143,6726,"Source 5","2018-02-27T05:00:00.000Z"
144,3300,"Source 1","2020-10-14T05:00:00.000Z"
145,11431,"Source 3","2018-04-02T05:00:00.000Z"
146,11775,"Source 4","2019-11-17T05:00:00.000Z"
147,5980,"Source 2","2018-01-05T05:00:00.000Z"
148,1980,"Source 2","2018-06-15T05:00:00.000Z"
149,5897,"Source 5","2019-07-19T05:00:00.000Z"
150,2051,"Source 2","2019-03-22T05:00:00.000Z"
151,3589,"Source 4","2020-12-02T05:00:00.000Z"
152,8857,"Source 1","2020-11-04T05:00:00.000Z"
153,2836,"Source 2","2019-11-12T05:00:00.000Z"
154,10778,"Source 4","2020-03-08T05:00:00.000Z"
155,1095,"Source 3","2019-07-15T05:00:00.000Z"
156,3590,"Source 5","2019-06-27T05:00:00.000Z"
157,10371,"Source 4","2019-09-05T05:00:00.000Z"
158,6938,"Source 2","2018-05-11T05:00:00.000Z"
159,6323,"Source 4","2019-02-16T05:00:00.000Z"
