ProjectKey,Name,CustomerKey,Description,Status,StartDate,EndDate
0,Project name 0,4568,Condiments,Cancelled,2020-12-26T05:00:00.000Z,2021-03-12T05:00:00.000Z
1,Project name 1,4265,Sauces,Presales,2020-12-01T05:00:00.000Z,2021-02-10T05:00:00.000Z
2,Project name 2,1759,Grooming products,Closed,2018-12-26T05:00:00.000Z,2019-06-05T05:00:00.000Z
3,Project name 3,2612,Brown rice,Presales,2020-06-17T05:00:00.000Z,2021-01-17T05:00:00.000Z
4,Project name 4,2427,House-cleaning products,Presales,2020-12-15T05:00:00.000Z,2021-05-23T05:00:00.000Z
5,Project name 5,973,Chicken,Active,2020-07-20T05:00:00.000Z,2020-09-02T05:00:00.000Z
6,Project name 6,728,Medicines,Closed,2019-08-11T05:00:00.000Z,2020-03-12T05:00:00.000Z
7,Project name 7,1993,Personal Care,Cancelled,2019-11-04T05:00:00.000Z,2019-12-04T05:00:00.000Z
8,Project name 8,793,Nonalcoholic beverages,Presales,2020-08-08T05:00:00.000Z,2020-10-22T05:00:00.000Z
9,Project name 9,770,Fruits,Presales,2020-06-27T05:00:00.000Z,2020-07-15T05:00:00.000Z
10,Project name 10,4724,Salmon,Active,2019-10-24T05:00:00.000Z,2019-12-20T05:00:00.000Z
11,Project name 11,822,Candies,Cancelled,2020-10-05T05:00:00.000Z,2020-11-02T05:00:00.000Z
12,Project name 12,3024,Candies,Active,2019-11-04T05:00:00.000Z,2019-11-17T05:00:00.000Z
13,Project name 13,3626,Cereals,Closed,2018-08-01T05:00:00.000Z,2018-10-21T05:00:00.000Z
14,Project name 14,2644,White rice,Closed,2020-01-31T05:00:00.000Z,2020-06-23T05:00:00.000Z
15,Project name 15,425,Salmon,Active,2020-08-30T05:00:00.000Z,2021-02-25T05:00:00.000Z
16,Project name 16,1124,Condiments,Presales,2020-09-04T05:00:00.000Z,2020-10-02T05:00:00.000Z
17,Project name 17,1041,Seafood,Closed,2018-08-12T05:00:00.000Z,2018-11-26T05:00:00.000Z
18,Project name 18,2026,Poultry,Active,2020-05-14T05:00:00.000Z,2020-06-17T05:00:00.000Z
19,Project name 19,2275,Bottled waters,Cancelled,2020-11-30T05:00:00.000Z,2021-06-22T05:00:00.000Z
